# model,NDB,JS,negLogLikelihood,FID,MMD rbf,KL,revKL,total variation,chi square
baseline.npz,29,0.09160860588208924,3.6395988978801905,0.10370204183821649,0.12633563776337192,0.46729299312335787,0.43086481492846057,0.295718525202425,279.72845210790376
penalized.npz,5,0.026328963039165397,3.227056893866204,0.07229537221783644,0.08469700356001067,0.04125362044281253,0.11787928400920714,0.10382290161163865,0.08633524214099568
