# model,NDB,JS,negLogLikelihood,FID,MMD rbf,KL,revKL,total variation,chi square
baseline.npz,29,0.09991555024113397,3.749624170683678,0.1494178541215181,0.1716741857126086,0.5492380688553786,0.5160900113140506,0.9059446453696305,1.334671386508525
penalized.npz,7,0.025602630658299954,3.244959730258859,0.0789362734734686,0.05572887315144094,0.011696417786367794,0.038379268880966,0.07483868402610813,0.047488446718047514
