# model,NDB,JS,negLogLikelihood,MMD rbf,KL,revKL,total variation,chi square
baseline.npz,50,0.15603339461885912,2.8207755478880823,0.3796328942663174,0.6863971318465517,0.5881017204698619,0.4006469595953672,2.239357040901109
penalized.npz,20,0.05760936090519651,2.335805598434577,0.2486747592149746,0.18312319249707426,0.2627856120624948,0.2580851748927926,0.3101631525429924
