# model,NDB,JS,negLogLikelihood,FID,MMD rbf,KL,revKL,total variation,chi square
lambda_o_0.1.npz,7,0.02638096745249389,3.269928254772699,0.09138850437708816,0.07060496888593329,0.04530995805459812,0.058164898630048215,0.10865824710716446,0.08897947482335244
lambda_oi_0.0.npz,8,0.031873589015806836,3.2754949363138475,0.08774000313533566,0.07533619350937228,0.03516161672772331,0.028578716870517846,0.10320841161327067,0.08771423579949021
lambda_oi_1.0.npz,13,0.040946794852109544,3.2261545387024673,0.09986140424934152,0.06474463659750868,0.049013899978916614,0.042716658938520106,0.10317209930816042,0.08688524237458652
lambda_oi_10.0.npz,11,0.03975885300987578,3.2292400081734614,0.06798542905234739,0.05033828167225634,0.04896917627291518,0.0429573505720634,0.10371718913240323,0.09726653075050386
lambda_oi_100.0.npz,8,0.03526933626351268,3.226435541688853,0.10920942671279008,0.050064723890603055,0.04416249424765618,0.041751656793078185,0.10256942714464423,0.10395579322772902
