# model,NDB,JS,negLogLikelihood,FID,MMD rbf,KL,revKL,total variation,chi square
lambda_o_0.1.npz,7,0.02986860343761119,3.312247787403525,0.10332310520322822,0.051663331867554355,0.036014763185638926,0.05622182908382942,0.11126605206613413,0.08821947231952727
lambda_oi_0.0.npz,6,0.02910288490090894,3.2710882534305403,0.06310166524340484,0.06666178769525312,0.03477647303037901,0.05423041484157882,0.10168920996889444,0.08913536380542615
lambda_oi_1.0.npz,5,0.030550591805320916,3.2220583612719778,0.07896963786063636,0.067450027897776,0.05263956639337666,0.026900119670797716,0.10668023603585265,0.08692463775778524
lambda_oi_10.0.npz,11,0.03986045255348206,3.321419912734087,0.05721000082200401,0.05398542219251575,0.029049879167333842,0.04068709702861867,0.10753389584265079,0.1050995349232506
lambda_oi_100.0.npz,5,0.02835047605306784,3.1903264629507393,0.09115950156763183,0.05744853311271313,0.03735749604406009,0.018451976477264487,0.10466943847412466,0.09450394317596277
