# model,NDB,JS,negLogLikelihood,FID,MMD rbf,KL,revKL,total variation,chi square
lambda_o_0.1.npz,4,0.02727591785724235,3.268125935069246,0.10425970225157703,0.04838578267287759,0.04971490697781496,0.024705123915476725,0.10188494746394243,0.09154351759634945
lambda_oi_0.0.npz,6,0.030568462300533884,3.2570540310636513,0.08104161429568886,0.07397652575706691,0.03908611024231838,0.046596803085710896,0.0990559265968987,0.08403492189257145
lambda_oi_1.0.npz,5,0.03320322020664507,3.2993173949511223,0.061735026328209694,0.08533552949298709,0.04714110181423848,0.04727132115992144,0.09866213092311837,0.08900754718674307
lambda_oi_10.0.npz,6,0.03585345774234004,3.2531066934046793,0.1051838246925818,0.08005201355838151,0.03408206973076833,0.026914995048385806,0.10223577907484149,0.1105360896519167
lambda_oi_100.0.npz,5,0.032901007428842624,3.2663292496413097,0.08803025136621898,0.07003840724003035,0.04585487005415928,0.046770640901024334,0.0948400579453996,0.11916848332262962
