# model,NDB,JS,negLogLikelihood,FID,MMD rbf,KL,revKL,total variation,chi square
lambda_o_0.1.npz,5,0.031092452214896493,3.225633469946817,0.1353561820613927,0.06562392785026455,0.02936094933746702,0.03380575316139153,0.10453718785646864,0.09626060649962369
lambda_oi_0.0.npz,12,0.034942276780321455,3.276689283287924,0.10429536040747762,0.04504270569712303,0.033455039974028496,0.016152290587084735,0.11403416987804897,0.09104507733151626
lambda_oi_1.0.npz,5,0.03208301918135178,3.2701776037403003,0.08768485099626598,0.04641774058472654,0.05120355622324832,0.04885549103598347,0.1042031723283908,0.08562163403157629
lambda_oi_10.0.npz,4,0.030121569678365746,3.2593646817914395,0.11261606251404266,0.05704396552637349,0.0275885571368365,0.045301312502733664,0.10383808286722988,0.08276313398037283
lambda_oi_100.0.npz,6,0.030443705842331338,3.248465273507286,0.10341490299866482,0.0632349482812861,0.04343814276385794,0.028361446245977667,0.10269559288916238,0.09205778404284191
