# model,NDB,JS,negLogLikelihood,FID,MMD rbf,KL,revKL,total variation,chi square
lambda_o_0.1.npz,9,0.03265056547461116,3.2594784937909935,0.09716097659144855,0.06478967530938863,0.043465558741775295,0.039608424613725025,0.09735906094284083,0.07762680752910163
lambda_oi_0.0.npz,6,0.025602854100008017,3.2417096531887357,0.08312729156561356,0.06098902925785378,0.034483098717405604,0.04662476944445639,0.11095067060388217,0.09225166649045147
lambda_oi_1.0.npz,9,0.039129709080246995,3.2710785972695238,0.08636876341576392,0.05394621892388392,0.0397598161259285,0.041421823606868115,0.10593970484132695,0.08851345977026612
lambda_oi_10.0.npz,8,0.033281812482325146,3.2838773815774043,0.058204824281332675,0.05416010652833761,0.03896197967020429,0.07670211690373525,0.10798334299013349,0.09053100112930584
lambda_oi_100.0.npz,5,0.026981481231217637,3.2534623117645647,0.1021716944559958,0.07036850544013026,0.05045437909025873,0.04009182378654679,0.09924781250724464,0.08322508073458487
